"x","full_y","value","y","full_x"
"В.Іванчик","Батьківщина",-5.77,"Батьківщина","Віктор Іванчик"
"К.Іаковідес","Батьківщина",2.05,"Батьківщина","Крістакіс Іаковідес"
"М.Фрідман","Батьківщина",0.67,"Батьківщина","Михайло Фрідман"
"О.Бахматюк","Батьківщина",4.9,"Батьківщина","Олег Бахматюк"
"П.Порошенко","Батьківщина",1.18,"Батьківщина","Петро Порошенко"
"Р.Ахметов","Батьківщина",-3.1,"Батьківщина","Рінат Ахметов"
"С.Тігіпко","Батьківщина",3.32,"Батьківщина","Сергій Тігіпко"
"Ю.Косюк","Батьківщина",-8.82,"Батьківщина","Юрій Косюк"
"NCH Capital","Свобода",-2.78,"Свобода","NCH Capital"
"А.Веревський","Свобода",-2.73,"Свобода","Андрій Веревський"
"В.Іванчик","Свобода",-5.25,"Свобода","Віктор Іванчик"
"К.Іаковідес","Свобода",7.03,"Свобода","Крістакіс Іаковідес"
"М.Фрідман","Свобода",-3.07,"Свобода","Михайло Фрідман"
"О.Бахматюк","Свобода",-3.31,"Свобода","Олег Бахматюк"
"П.Порошенко","Свобода",1.42,"Свобода","Петро Порошенко"
"Р.Ахметов","Свобода",-1.58,"Свобода","Рінат Ахметов"
"С.Тігіпко","Свобода",-0.3,"Свобода","Сергій Тігіпко"
"Ю.Косюк","Свобода",-3.58,"Свобода","Юрій Косюк"
"NCH Capital","Радикальна партія",-0.98,"РПЛ","NCH Capital"
"А.Веревський","Радикальна партія",0.399999999999999,"РПЛ","Андрій Веревський"
"В.Іванчик","Радикальна партія",-0.21,"РПЛ","Віктор Іванчик"
"К.Іаковідес","Радикальна партія",-1.89,"РПЛ","Крістакіс Іаковідес"
"М.Фрідман","Радикальна партія",0.71,"РПЛ","Михайло Фрідман"
"О.Бахматюк","Радикальна партія",-4.24,"РПЛ","Олег Бахматюк"
"П.Порошенко","Радикальна партія",-2.15,"РПЛ","Петро Порошенко"
"Р.Ахметов","Радикальна партія",-2.1,"РПЛ","Рінат Ахметов"
"С.Тігіпко","Радикальна партія",-1.21,"РПЛ","Сергій Тігіпко"
"Ю.Косюк","Радикальна партія",-5.48,"РПЛ","Юрій Косюк"
